,dropout,learning.rate,L1.regularization,training.steps,accuracy,execution.time
34,0.01,0.0032,10.0,500,0.2666666805744171,12.413535356521606
35,0.01,0.0032,10.0,2500,0.2666666805744171,26.290549993515015
36,0.01,0.0128,0.01,100,0.5,6.770565748214722
37,0.01,0.0128,0.01,500,0.9666666388511658,9.298083305358887
38,0.01,0.0128,0.01,2500,0.9666666388511658,21.41287112236023
39,0.01,0.0128,0.1,100,0.9666666388511658,8.051305770874023
40,0.01,0.0128,0.1,500,0.9333333373069763,9.913915872573853
41,0.01,0.0128,0.1,2500,0.9666666388511658,23.003466367721558
42,0.01,0.0128,1.0,100,0.8999999761581421,7.21045446395874
43,0.01,0.0128,1.0,500,0.9666666388511658,9.706948518753052
44,0.01,0.0128,1.0,2500,0.9666666388511658,21.961644887924194
45,0.01,0.0128,10.0,100,0.2666666805744171,8.191073179244995
46,0.01,0.0128,10.0,500,0.5333333611488342,10.074447870254517
47,0.01,0.0128,10.0,2500,0.5333333611488342,20.663516998291016
48,0.01,0.0512,0.01,100,0.9333333373069763,6.980890512466431
49,0.01,0.0512,0.01,500,0.9333333373069763,9.452524423599243
50,0.01,0.0512,0.01,2500,0.9666666388511658,20.11667561531067
51,0.01,0.0512,0.1,100,0.9333333373069763,7.1965765953063965
52,0.01,0.0512,0.1,500,0.9666666388511658,9.665852069854736
53,0.01,0.0512,0.1,2500,0.9333333373069763,21.346598863601685
54,0.01,0.0512,1.0,100,0.9666666388511658,7.188885450363159
55,0.01,0.0512,1.0,500,0.9666666388511658,10.182723045349121
56,0.01,0.0512,1.0,2500,0.9666666388511658,20.11384129524231
57,0.01,0.0512,10.0,100,0.2666666805744171,7.448524475097656
58,0.01,0.0512,10.0,500,0.2666666805744171,9.453253507614136
59,0.01,0.0512,10.0,2500,0.2666666805744171,19.714181423187256
60,0.01,0.2048,0.01,100,0.9333333373069763,7.4361655712127686
61,0.01,0.2048,0.01,500,0.9333333373069763,9.57102346420288
62,0.01,0.2048,0.01,2500,0.9666666388511658,20.389160633087158
63,0.01,0.2048,0.1,100,0.5333333611488342,8.171829462051392
64,0.01,0.2048,0.1,500,0.9666666388511658,9.748550176620483
65,0.01,0.2048,0.1,2500,0.9666666388511658,21.109477758407593
