,dropout,learning.rate,L1.regularization,training.steps,accuracy,execution.time
216,0.25,0.0002,0.01,100,0.2666666805744171,8.121522665023804
217,0.25,0.0002,0.01,500,0.4333333373069763,10.142993211746216
218,0.25,0.0002,0.01,2500,0.5333333611488342,21.37868356704712
219,0.25,0.0002,0.1,100,0.30000001192092896,6.810178279876709
220,0.25,0.0002,0.1,500,0.46666666865348816,9.091280460357666
221,0.25,0.0002,0.1,2500,0.2666666805744171,20.636964082717896
222,0.25,0.0002,1.0,100,0.2666666805744171,7.308897018432617
223,0.25,0.0002,1.0,500,0.46666666865348816,10.097417831420898
224,0.25,0.0002,1.0,2500,0.2666666805744171,20.554980754852295
225,0.25,0.0002,10.0,100,0.36666667461395264,7.865813493728638
226,0.25,0.0002,10.0,500,0.46666666865348816,9.363699197769165
227,0.25,0.0002,10.0,2500,0.23333333432674408,22.189738512039185
228,0.25,0.0008,0.01,100,0.4333333373069763,7.361953973770142
229,0.25,0.0008,0.01,500,0.6000000238418579,10.124202013015747
230,0.25,0.0008,0.01,2500,0.36666667461395264,22.067622184753418
231,0.25,0.0008,0.1,100,0.2666666805744171,7.166186094284058
232,0.25,0.0008,0.1,500,0.46666666865348816,10.44266152381897
233,0.25,0.0008,0.1,2500,0.3333333432674408,20.567797422409058
234,0.25,0.0008,1.0,100,0.2666666805744171,7.090364694595337
235,0.25,0.0008,1.0,500,0.2666666805744171,9.707423448562622
236,0.25,0.0008,1.0,2500,0.2666666805744171,21.114752054214478
237,0.25,0.0008,10.0,100,0.46666666865348816,7.755672454833984
238,0.25,0.0008,10.0,500,0.7333333492279053,9.524069547653198
239,0.25,0.0008,10.0,2500,0.800000011920929,21.438802003860474
240,0.25,0.0032,0.01,100,0.5333333611488342,7.283382415771484
241,0.25,0.0032,0.01,500,0.6000000238418579,9.199530124664307
242,0.25,0.0032,0.01,2500,0.7666666507720947,21.886343717575073
243,0.25,0.0032,0.1,100,0.6666666865348816,6.767732620239258
244,0.25,0.0032,0.1,500,0.5333333611488342,9.996749877929688
245,0.25,0.0032,0.1,2500,0.9666666388511658,20.616130828857422
246,0.25,0.0032,1.0,100,0.5,7.745850086212158
247,0.25,0.0032,1.0,500,0.5333333611488342,9.421347618103027
248,0.25,0.0032,1.0,2500,0.9333333373069763,22.539138317108154
249,0.25,0.0032,10.0,100,0.2666666805744171,7.806849956512451
250,0.25,0.0032,10.0,500,0.2666666805744171,9.024188756942749
251,0.25,0.0032,10.0,2500,0.2666666805744171,22.48022437095642
252,0.25,0.0128,0.01,100,0.5666666626930237,7.590328216552734
253,0.25,0.0128,0.01,500,0.9333333373069763,10.046894073486328
254,0.25,0.0128,0.01,2500,0.9666666388511658,21.613572359085083
255,0.25,0.0128,0.1,100,0.6666666865348816,7.0937018394470215
256,0.25,0.0128,0.1,500,0.5333333611488342,10.335188150405884
257,0.25,0.0128,0.1,2500,0.8999999761581421,21.358534812927246
258,0.25,0.0128,1.0,100,0.5333333611488342,8.220778703689575
259,0.25,0.0128,1.0,500,0.5333333611488342,9.652513027191162
260,0.25,0.0128,1.0,2500,0.9333333373069763,20.111684322357178
261,0.25,0.0128,10.0,100,0.2666666805744171,7.486572504043579
262,0.25,0.0128,10.0,500,0.36666667461395264,9.58468222618103
263,0.25,0.0128,10.0,2500,0.5333333611488342,21.010382890701294
264,0.25,0.0512,0.01,100,0.8666666746139526,7.924022912979126
265,0.25,0.0512,0.01,500,0.9666666388511658,11.978740453720093
266,0.25,0.0512,0.01,2500,0.9333333373069763,23.3988938331604
267,0.25,0.0512,0.1,100,0.9666666388511658,8.562599420547485
268,0.25,0.0512,0.1,500,0.9333333373069763,11.29785704612732
269,0.25,0.0512,0.1,2500,0.9333333373069763,23.038207530975342
270,0.25,0.0512,1.0,100,0.5666666626930237,8.511128664016724
271,0.25,0.0512,1.0,500,0.9666666388511658,10.62550663948059
272,0.25,0.0512,1.0,2500,0.8999999761581421,21.60966920852661
273,0.25,0.0512,10.0,100,0.5333333611488342,7.892126083374023
274,0.25,0.0512,10.0,500,0.2666666805744171,10.237333059310913
275,0.25,0.0512,10.0,2500,0.2666666805744171,21.288984060287476
276,0.25,0.2048,0.01,100,0.9666666388511658,8.86652135848999
277,0.25,0.2048,0.01,500,0.9666666388511658,9.923004388809204
278,0.25,0.2048,0.01,2500,0.9666666388511658,23.792967081069946
279,0.25,0.2048,0.1,100,0.9666666388511658,7.801862716674805
280,0.25,0.2048,0.1,500,0.9333333373069763,10.314355373382568
281,0.25,0.2048,0.1,2500,0.9333333373069763,21.087741136550903
282,0.25,0.2048,1.0,100,0.9333333373069763,7.709202527999878
283,0.25,0.2048,1.0,500,0.8999999761581421,10.706477165222168
284,0.25,0.2048,1.0,2500,0.9333333373069763,20.390239238739014
