,dropout,learning.rate,L1.regularization,training.steps,accuracy,execution.time,Pred.Quality
34,0.01,0.0032,10.0,500,0.2666666805744171,8.675966262817383,-1
35,0.01,0.0032,10.0,2500,0.2666666805744171,19.291645288467407,-1
36,0.01,0.0128,0.01,100,0.4000000059604645,6.98784065246582,-1
37,0.01,0.0128,0.01,500,0.5333333611488342,8.335477352142334,0
38,0.01,0.0128,0.01,2500,0.8999999761581421,19.381208419799805,1
39,0.01,0.0128,0.1,100,0.5333333611488342,6.70331072807312,0
40,0.01,0.0128,0.1,500,0.5333333611488342,8.747485637664795,0
41,0.01,0.0128,0.1,2500,0.8999999761581421,19.223874568939213,1
42,0.01,0.0128,1.0,100,0.2666666805744171,6.779823303222656,-1
43,0.01,0.0128,1.0,500,0.2666666805744171,8.637822866439821,-1
44,0.01,0.0128,1.0,2500,0.2666666805744171,19.388262510299683,-1
45,0.01,0.0128,10.0,100,0.2666666805744171,6.6733248233795175,-1
46,0.01,0.0128,10.0,500,0.2666666805744171,8.623726367950441,-1
47,0.01,0.0128,10.0,2500,0.2666666805744171,19.024264574050907,-1
48,0.01,0.0512,0.01,100,0.6333333253860474,6.6336402893066415,0
49,0.01,0.0512,0.01,500,0.9666666388511658,9.117923021316527,1
50,0.01,0.0512,0.01,2500,0.9666666388511658,18.78852987289429,1
51,0.01,0.0512,0.1,100,0.5333333611488342,6.589721441268921,0
52,0.01,0.0512,0.1,500,0.9666666388511658,8.896700143814089,1
53,0.01,0.0512,0.1,2500,0.9666666388511658,19.126686811447144,1
54,0.01,0.0512,1.0,100,0.2666666805744171,7.400434732437134,-1
55,0.01,0.0512,1.0,500,0.2666666805744171,8.474171161651611,-1
56,0.01,0.0512,1.0,2500,0.2666666805744171,19.039479970932007,-1
57,0.01,0.0512,10.0,100,0.2666666805744171,6.758599519729612,-1
58,0.01,0.0512,10.0,500,0.2666666805744171,8.802592515945436,-1
59,0.01,0.0512,10.0,2500,0.2666666805744171,18.885567188262943,-1
60,0.01,0.2048,0.01,100,0.9333333373069764,6.604907989501952,1
61,0.01,0.2048,0.01,500,0.9666666388511658,8.701738834381104,1
62,0.01,0.2048,0.01,2500,0.9666666388511658,19.154654264450073,1
63,0.01,0.2048,0.1,100,0.9333333373069764,6.792863845825195,1
64,0.01,0.2048,0.1,500,0.9333333373069764,8.527102470397951,1
65,0.01,0.2048,0.1,2500,0.9333333373069764,19.26994228363037,1
66,0.01,0.2048,1.0,100,0.2666666805744171,6.741933584213258,-1
67,0.01,0.2048,1.0,500,0.2666666805744171,8.66975736618042,-1
68,0.01,0.2048,1.0,2500,0.2666666805744171,18.34192681312561,-1
69,0.01,0.2048,10.0,100,0.2666666805744171,6.842687129974365,-1
70,0.01,0.2048,10.0,500,0.2666666805744171,8.939918518066406,-1
71,0.01,0.2048,10.0,2500,0.2666666805744171,18.75849938392639,-1
72,0.05,0.0002,0.01,100,0.2666666805744171,6.766987323760986,-1
73,0.05,0.0002,0.01,500,0.2666666805744171,9.095234394073486,-1
74,0.05,0.0002,0.01,2500,0.4666666686534882,19.16384983062744,-1
75,0.05,0.0002,0.1,100,0.2666666805744171,6.822912931442263,-1
76,0.05,0.0002,0.1,500,0.2666666805744171,9.036521434783936,-1
77,0.05,0.0002,0.1,2500,0.2666666805744171,18.84943962097168,-1
78,0.05,0.0002,1.0,100,0.2666666805744171,6.4212846755981445,-1
79,0.05,0.0002,1.0,500,0.2666666805744171,8.900603055953981,-1
80,0.05,0.0002,1.0,2500,0.2666666805744171,18.917778253555298,-1
81,0.05,0.0002,10.0,100,0.2666666805744171,6.787283897399902,-1
82,0.05,0.0002,10.0,500,0.4666666686534882,8.486079931259155,-1
83,0.05,0.0002,10.0,2500,0.2666666805744171,19.31875944137573,-1
