,dropout,learning.rate,L1.regularization,training.steps,accuracy,execution.time,Pred.Quality
40,0.01,0.0128,0.1,500,1.0,9.348365306854248,2
41,0.01,0.0128,0.1,2500,0.9666666388511658,20.701839208602905,2
42,0.01,0.0128,1.0,100,0.5666666626930237,8.077679634094237,1
43,0.01,0.0128,1.0,500,0.9666666388511658,9.522684097290039,2
44,0.01,0.0128,1.0,2500,0.9666666388511658,23.84694647789001,2
45,0.01,0.0128,10.0,100,0.5333333611488342,7.219038963317871,1
46,0.01,0.0128,10.0,500,0.2666666805744171,10.853810787200928,0
47,0.01,0.0128,10.0,2500,0.5333333611488342,28.06805443763733,1
48,0.01,0.0512,0.01,100,0.9666666388511658,9.874675750732422,2
49,0.01,0.0512,0.01,500,0.9666666388511658,11.072979211807251,2
50,0.01,0.0512,0.01,2500,0.9666666388511658,21.75788450241089,2
51,0.01,0.0512,0.1,100,0.9666666388511658,8.331712007522581,2
52,0.01,0.0512,0.1,500,0.9333333373069764,9.331850767135618,2
53,0.01,0.0512,0.1,2500,0.9666666388511658,22.0010085105896,2
54,0.01,0.0512,1.0,100,0.9666666388511658,6.95497465133667,2
55,0.01,0.0512,1.0,500,0.9666666388511658,10.262272834777832,2
56,0.01,0.0512,1.0,2500,0.9666666388511658,21.962265968322754,2
57,0.01,0.0512,10.0,100,0.2666666805744171,7.37299108505249,0
58,0.01,0.0512,10.0,500,0.2666666805744171,9.865100860595703,0
59,0.01,0.0512,10.0,2500,0.2666666805744171,21.301426887512207,0
60,0.01,0.2048,0.01,100,0.9666666388511658,7.843415021896362,2
61,0.01,0.2048,0.01,500,0.9666666388511658,9.820817232131956,2
62,0.01,0.2048,0.01,2500,0.9666666388511658,21.450670957565308,2
63,0.01,0.2048,0.1,100,0.7333333492279053,7.315420150756836,1
64,0.01,0.2048,0.1,500,0.9666666388511658,10.113280534744264,2
65,0.01,0.2048,0.1,2500,0.9666666388511658,21.1031436920166,2
66,0.01,0.2048,1.0,100,0.8999999761581421,8.258895874023438,2
67,0.01,0.2048,1.0,500,0.9333333373069764,9.41895055770874,2
68,0.01,0.2048,1.0,2500,0.9666666388511658,27.55602550506592,2
69,0.01,0.2048,10.0,100,0.2666666805744171,8.324795722961426,0
70,0.01,0.2048,10.0,500,0.2666666805744171,9.775129556655882,0
