,dropout,learning.rate,L1.regularization,training.steps,accuracy,execution.time
71,0.01,0.2048,10.0,2500,0.2666666805744171,18.98077082633972
72,0.05,0.0002,0.01,100,0.46666666865348816,6.9286744594573975
73,0.05,0.0002,0.01,500,0.4333333373069763,8.703129529953003
74,0.05,0.0002,0.01,2500,0.6666666865348816,19.83892822265625
75,0.05,0.0002,0.1,100,0.5333333611488342,6.779617547988892
76,0.05,0.0002,0.1,500,0.20000000298023224,8.816339492797852
77,0.05,0.0002,0.1,2500,0.2666666805744171,19.578596591949463
78,0.05,0.0002,1.0,100,0.46666666865348816,6.925928115844727
79,0.05,0.0002,1.0,500,0.30000001192092896,8.724323034286499
80,0.05,0.0002,1.0,2500,0.2666666805744171,19.30063009262085
81,0.05,0.0002,10.0,100,0.5333333611488342,6.76035475730896
82,0.05,0.0002,10.0,500,0.46666666865348816,8.61825704574585
83,0.05,0.0002,10.0,2500,0.46666666865348816,19.274608373641968
84,0.05,0.0008,0.01,100,0.2666666805744171,6.880965232849121
85,0.05,0.0008,0.01,500,0.46666666865348816,8.988732814788818
86,0.05,0.0008,0.01,2500,0.5,18.735790014266968
87,0.05,0.0008,0.1,100,0.2666666805744171,6.65190052986145
88,0.05,0.0008,0.1,500,0.2666666805744171,8.916226387023926
89,0.05,0.0008,0.1,2500,0.46666666865348816,19.145979166030884
90,0.05,0.0008,1.0,100,0.2666666805744171,6.61290717124939
91,0.05,0.0008,1.0,500,0.2666666805744171,8.706196546554565
92,0.05,0.0008,1.0,2500,0.6000000238418579,19.2989764213562
93,0.05,0.0008,10.0,100,0.2666666805744171,6.743501901626587
94,0.05,0.0008,10.0,500,0.46666666865348816,8.433301210403442
95,0.05,0.0008,10.0,2500,0.5333333611488342,19.524765729904175
96,0.05,0.0032,0.01,100,0.46666666865348816,6.723707437515259
97,0.05,0.0032,0.01,500,0.5333333611488342,9.0683913230896
98,0.05,0.0032,0.01,2500,0.5333333611488342,19.27691125869751
99,0.05,0.0032,0.1,100,0.46666666865348816,6.8994574546813965
100,0.05,0.0032,0.1,500,0.8333333134651184,8.972491264343262
101,0.05,0.0032,0.1,2500,0.2666666805744171,19.321413040161133
102,0.05,0.0032,1.0,100,0.5,6.326212167739868
103,0.05,0.0032,1.0,500,0.5333333611488342,9.09015679359436
104,0.05,0.0032,1.0,2500,0.5333333611488342,19.06409478187561
105,0.05,0.0032,10.0,100,0.2666666805744171,6.812780380249023
106,0.05,0.0032,10.0,500,0.46666666865348816,8.909560918807983
107,0.05,0.0032,10.0,2500,0.2666666805744171,19.226324319839478
108,0.05,0.0128,0.01,100,0.8333333134651184,6.95913290977478
109,0.05,0.0128,0.01,500,0.9333333373069763,8.967139720916748
110,0.05,0.0128,0.01,2500,0.9333333373069763,19.193742752075195
111,0.05,0.0128,0.1,100,0.5333333611488342,6.811963796615601
112,0.05,0.0128,0.1,500,0.9666666388511658,9.238830804824829
113,0.05,0.0128,0.1,2500,0.9333333373069763,18.81860065460205
114,0.05,0.0128,1.0,100,0.5333333611488342,6.627901554107666
115,0.05,0.0128,1.0,500,0.5333333611488342,8.819294452667236
116,0.05,0.0128,1.0,2500,0.9666666388511658,19.75147533416748
117,0.05,0.0128,10.0,100,0.4333333373069763,6.75681734085083
118,0.05,0.0128,10.0,500,0.2666666805744171,9.262657880783081
119,0.05,0.0128,10.0,2500,0.2666666805744171,19.31938862800598
120,0.05,0.0512,0.01,100,0.6333333253860474,6.703344106674194
121,0.05,0.0512,0.01,500,1.0,8.563764333724976
122,0.05,0.0512,0.01,2500,0.9666666388511658,19.017099857330322
123,0.05,0.0512,0.1,100,0.9666666388511658,7.28267502784729
124,0.05,0.0512,0.1,500,0.9666666388511658,8.737042665481567
125,0.05,0.0512,0.1,2500,0.9666666388511658,19.48413372039795
126,0.05,0.0512,1.0,100,0.9333333373069763,6.79101037979126
127,0.05,0.0512,1.0,500,0.9666666388511658,8.744449615478516
128,0.05,0.0512,1.0,2500,0.9333333373069763,19.42292881011963
129,0.05,0.0512,10.0,100,0.2666666805744171,6.706765174865723
130,0.05,0.0512,10.0,500,0.2666666805744171,9.187686443328857
131,0.05,0.0512,10.0,2500,0.2666666805744171,18.949248790740967
132,0.05,0.2048,0.01,100,0.2666666805744171,6.510560750961304
133,0.05,0.2048,0.01,500,0.2666666805744171,8.811296224594116
134,0.05,0.2048,0.01,2500,0.9666666388511658,19.545500993728638
135,0.05,0.2048,0.1,100,0.5333333611488342,6.823689699172974
136,0.05,0.2048,0.1,500,0.9666666388511658,8.962411880493164
137,0.05,0.2048,0.1,2500,0.9666666388511658,19.887343645095825
138,0.05,0.2048,1.0,100,0.7333333492279053,6.586329460144043
139,0.05,0.2048,1.0,500,0.9666666388511658,8.622791528701782
140,0.05,0.2048,1.0,2500,0.9333333373069763,18.968274116516113
141,0.05,0.2048,10.0,100,0.2666666805744171,6.8157057762146
142,0.05,0.2048,10.0,500,0.2666666805744171,8.82167363166809
143,0.05,0.2048,10.0,2500,0.2666666805744171,19.455888032913208
144,0.1,0.0002,0.01,100,0.2666666805744171,6.827972173690796
145,0.1,0.0002,0.01,500,0.03333333507180214,9.007530450820923
146,0.1,0.0002,0.01,2500,0.2666666805744171,19.556301593780518
147,0.1,0.0002,0.1,100,0.46666666865348816,6.874494314193726
148,0.1,0.0002,0.1,500,0.2666666805744171,9.07491421699524
149,0.1,0.0002,0.1,2500,0.2666666805744171,19.100447416305542
150,0.1,0.0002,1.0,100,0.2666666805744171,6.771312236785889
151,0.1,0.0002,1.0,500,0.2666666805744171,9.010050058364868
152,0.1,0.0002,1.0,2500,0.46666666865348816,19.239851713180542
153,0.1,0.0002,10.0,100,0.2666666805744171,6.689142942428589
154,0.1,0.0002,10.0,500,0.2666666805744171,8.780207872390747
155,0.1,0.0002,10.0,2500,0.2666666805744171,19.221912384033203
156,0.1,0.0008,0.01,100,0.2666666805744171,6.92464804649353
157,0.1,0.0008,0.01,500,0.2666666805744171,8.608269453048706
158,0.1,0.0008,0.01,2500,0.5333333611488342,19.436745643615723
159,0.1,0.0008,0.1,100,0.2666666805744171,6.688130617141724
