,dropout,learning.rate,L1.regularization,training.steps,accuracy,execution.time,Pred.Quality
41,0.01,0.0128,0.1,2500,0.9666666388511658,23.003466367721558,2
42,0.01,0.0128,1.0,100,0.8999999761581421,7.21045446395874,2
43,0.01,0.0128,1.0,500,0.9666666388511658,9.706948518753054,2
44,0.01,0.0128,1.0,2500,0.9666666388511658,21.961644887924194,2
45,0.01,0.0128,10.0,100,0.2666666805744171,8.191073179244995,0
46,0.01,0.0128,10.0,500,0.5333333611488342,10.074447870254515,1
47,0.01,0.0128,10.0,2500,0.5333333611488342,20.663516998291016,1
48,0.01,0.0512,0.01,100,0.9333333373069764,6.9808905124664316,2
49,0.01,0.0512,0.01,500,0.9333333373069764,9.452524423599245,2
50,0.01,0.0512,0.01,2500,0.9666666388511658,20.116675615310672,2
51,0.01,0.0512,0.1,100,0.9333333373069764,7.1965765953063965,2
52,0.01,0.0512,0.1,500,0.9666666388511658,9.665852069854736,2
53,0.01,0.0512,0.1,2500,0.9333333373069764,21.346598863601685,2
54,0.01,0.0512,1.0,100,0.9666666388511658,7.188885450363159,2
55,0.01,0.0512,1.0,500,0.9666666388511658,10.18272304534912,2
56,0.01,0.0512,1.0,2500,0.9666666388511658,20.11384129524231,2
57,0.01,0.0512,10.0,100,0.2666666805744171,7.448524475097656,0
58,0.01,0.0512,10.0,500,0.2666666805744171,9.453253507614138,0
59,0.01,0.0512,10.0,2500,0.2666666805744171,19.714181423187252,0
60,0.01,0.2048,0.01,100,0.9333333373069764,7.436165571212768,2
61,0.01,0.2048,0.01,500,0.9333333373069764,9.57102346420288,2
62,0.01,0.2048,0.01,2500,0.9666666388511658,20.38916063308716,2
63,0.01,0.2048,0.1,100,0.5333333611488342,8.171829462051393,1
64,0.01,0.2048,0.1,500,0.9666666388511658,9.748550176620485,2
65,0.01,0.2048,0.1,2500,0.9666666388511658,21.109477758407593,2
66,0.01,0.2048,1.0,100,0.5333333611488342,7.65466570854187,1
67,0.01,0.2048,1.0,500,0.9666666388511658,10.328961133956911,2
68,0.01,0.2048,1.0,2500,0.9666666388511658,20.13930034637451,2
69,0.01,0.2048,10.0,100,0.2666666805744171,7.307771682739258,0
70,0.01,0.2048,10.0,500,0.2666666805744171,9.89393663406372,0
71,0.01,0.2048,10.0,2500,0.5333333611488342,19.542740345001217,1
72,0.05,0.0002,0.01,100,0.4666666686534882,7.499552965164185,0
73,0.05,0.0002,0.01,500,0.0,9.704114675521849,0
74,0.05,0.0002,0.01,2500,0.5333333611488342,20.22196245193481,1
75,0.05,0.0002,0.1,100,0.2666666805744171,6.8782920837402335,0
76,0.05,0.0002,0.1,500,0.4666666686534882,9.547903537750244,0
77,0.05,0.0002,0.1,2500,0.2666666805744171,21.286279439926147,0
78,0.05,0.0002,1.0,100,0.4666666686534882,7.376265048980713,0
79,0.05,0.0002,1.0,500,0.2666666805744171,9.8690083026886,0
80,0.05,0.0002,1.0,2500,0.6666666865348816,20.564834117889408,1
81,0.05,0.0002,10.0,100,0.2666666805744171,8.360739707946777,0
82,0.05,0.0002,10.0,500,0.2666666805744171,9.9156756401062,0
83,0.05,0.0002,10.0,2500,0.9333333373069764,20.38699150085449,2
