,dropout,learning.rate,L1.regularization,training.steps,accuracy,execution.time,Pred.Quality
47,0.01,0.0128,10.0,2500,0.2666666805744171,19.11857318878174,0
48,0.01,0.0512,0.01,100,0.9333333373069764,6.865736722946168,2
49,0.01,0.0512,0.01,500,1.0,8.735857963562013,2
50,0.01,0.0512,0.01,2500,0.9666666388511658,18.71162438392639,2
51,0.01,0.0512,0.1,100,0.9666666388511658,6.600522756576537,2
52,0.01,0.0512,0.1,500,0.9666666388511658,8.723987817764282,2
53,0.01,0.0512,0.1,2500,0.9333333373069764,19.0308837890625,2
54,0.01,0.0512,1.0,100,0.8999999761581421,6.842093706130981,2
55,0.01,0.0512,1.0,500,0.5333333611488342,8.605956792831421,1
56,0.01,0.0512,1.0,2500,0.9666666388511658,19.183452367782593,2
57,0.01,0.0512,10.0,100,0.4333333373069763,6.892865419387817,0
58,0.01,0.0512,10.0,500,0.2666666805744171,9.260380268096924,0
59,0.01,0.0512,10.0,2500,0.2666666805744171,19.1075222492218,0
60,0.01,0.2048,0.01,100,0.9666666388511658,6.618320941925049,2
61,0.01,0.2048,0.01,500,0.2666666805744171,8.588236570358276,0
62,0.01,0.2048,0.01,2500,0.9666666388511658,19.38289165496826,2
63,0.01,0.2048,0.1,100,0.9333333373069764,6.874636650085449,2
64,0.01,0.2048,0.1,500,0.2666666805744171,8.939928770065306,0
65,0.01,0.2048,0.1,2500,0.9666666388511658,19.351954698562626,2
66,0.01,0.2048,1.0,100,0.2666666805744171,7.04742693901062,0
67,0.01,0.2048,1.0,500,0.2666666805744171,8.740563154220581,0
68,0.01,0.2048,1.0,2500,0.9333333373069764,18.972078323364254,2
69,0.01,0.2048,10.0,100,0.2666666805744171,6.770596265792848,0
70,0.01,0.2048,10.0,500,0.2666666805744171,8.927367687225342,0
71,0.01,0.2048,10.0,2500,0.2666666805744171,18.980770826339718,0
72,0.05,0.0002,0.01,100,0.4666666686534882,6.9286744594573975,0
73,0.05,0.0002,0.01,500,0.4333333373069763,8.703129529953003,0
74,0.05,0.0002,0.01,2500,0.6666666865348816,19.83892822265625,1
75,0.05,0.0002,0.1,100,0.5333333611488342,6.7796175479888925,1
76,0.05,0.0002,0.1,500,0.20000000298023224,8.816339492797852,0
77,0.05,0.0002,0.1,2500,0.2666666805744171,19.578596591949466,0
78,0.05,0.0002,1.0,100,0.4666666686534882,6.9259281158447275,0
79,0.05,0.0002,1.0,500,0.30000001192092896,8.724323034286499,0
80,0.05,0.0002,1.0,2500,0.2666666805744171,19.300630092620853,0
81,0.05,0.0002,10.0,100,0.5333333611488342,6.76035475730896,1
82,0.05,0.0002,10.0,500,0.4666666686534882,8.61825704574585,0
83,0.05,0.0002,10.0,2500,0.4666666686534882,19.274608373641968,0
84,0.05,0.0008,0.01,100,0.2666666805744171,6.880965232849121,0
85,0.05,0.0008,0.01,500,0.4666666686534882,8.988732814788818,0
86,0.05,0.0008,0.01,2500,0.5,18.735790014266968,1
87,0.05,0.0008,0.1,100,0.2666666805744171,6.65190052986145,0
88,0.05,0.0008,0.1,500,0.2666666805744171,8.916226387023926,0
89,0.05,0.0008,0.1,2500,0.4666666686534882,19.145979166030887,0
90,0.05,0.0008,1.0,100,0.2666666805744171,6.61290717124939,0
91,0.05,0.0008,1.0,500,0.2666666805744171,8.706196546554565,0
92,0.05,0.0008,1.0,2500,0.6000000238418579,19.298976421356198,1
93,0.05,0.0008,10.0,100,0.2666666805744171,6.743501901626588,0
94,0.05,0.0008,10.0,500,0.4666666686534882,8.433301210403442,0
95,0.05,0.0008,10.0,2500,0.5333333611488342,19.52476572990417,1
96,0.05,0.0032,0.01,100,0.4666666686534882,6.723707437515259,0
97,0.05,0.0032,0.01,500,0.5333333611488342,9.0683913230896,1
98,0.05,0.0032,0.01,2500,0.5333333611488342,19.276911258697513,1
99,0.05,0.0032,0.1,100,0.4666666686534882,6.8994574546813965,0
100,0.05,0.0032,0.1,500,0.8333333134651184,8.972491264343262,2
101,0.05,0.0032,0.1,2500,0.2666666805744171,19.321413040161133,0
102,0.05,0.0032,1.0,100,0.5,6.326212167739867,1
103,0.05,0.0032,1.0,500,0.5333333611488342,9.090156793594359,1
